Data Logged From Pressure Experiment
Temperature (C),Pressure,Valve State,Time (mS)
0.14,0.0,553290.0
22.5,0.16,0.0,553367.0
22.5,0.16,0.0,553446.0
22.5,0.16,0.0,553524.0
22.5,0.16,0.0,553602.0
22.5,0.14,0.0,553680.0
22.5,0.16,0.0,553759.0
22.5,0.16,0.0,553836.0
22.5,0.16,0.0,553915.0
22.5,0.16,0.0,553993.0
22.5,0.17,0.0,554072.0
22.5,0.16,0.0,554149.0
22.5,0.14,0.0,554228.0
22.5,0.16,0.0,554306.0
22.5,0.16,0.0,554384.0
22.5,0.14,0.0,554462.0
22.5,0.16,0.0,554541.0
22.5,0.16,0.0,554618.0
22.5,0.16,0.0,554697.0
22.5,0.14,0.0,554775.0
22.5,0.16,0.0,554854.0
22.5,0.16,0.0,554931.0
22.5,0.14,0.0,555010.0
22.5,0.16,0.0,555088.0
22.5,0.16,0.0,555166.0
22.5,0.16,0.0,555244.0
22.5,0.14,0.0,555323.0
22.5,0.16,0.0,555400.0
22.5,0.16,0.0,555479.0
22.5,0.14,0.0,555557.0
22.5,0.16,0.0,555636.0
22.5,0.16,0.0,555713.0
22.5,0.16,0.0,555792.0
22.5,0.14,0.0,555870.0
22.5,0.14,0.0,555948.0
22.5,0.16,0.0,556026.0
22.5,0.16,0.0,556105.0
22.5,0.16,0.0,556182.0
22.5,0.16,0.0,556261.0
22.5,0.16,0.0,556339.0
22.5,0.16,0.0,556418.0
22.5,0.14,0.0,556495.0
22.5,0.16,0.0,556574.0
22.5,0.16,0.0,556652.0
22.5,0.16,0.0,556730.0
22.5,0.16,0.0,556808.0
22.5,0.14,0.0,556887.0
22.5,0.16,0.0,556964.0
22.5,0.14,0.0,557043.0
22.5,0.14,0.0,557121.0
22.5,0.17,0.0,557200.0
22.5,0.14,0.0,557277.0
22.5,0.16,0.0,557356.0
22.5,0.14,0.0,557434.0
22.5,0.14,0.0,557512.0
22.5,0.14,0.0,557590.0
22.5,0.16,0.0,557669.0
22.5,0.16,0.0,557746.0
22.5,0.16,0.0,557825.0
22.5,0.16,0.0,557903.0
22.5,0.16,0.0,557982.0
22.5,0.16,0.0,558059.0
22.5,0.16,0.0,558138.0
22.5,0.14,0.0,558216.0
22.5,0.14,0.0,558294.0
22.5,0.16,0.0,558372.0
22.5,0.16,0.0,558451.0
22.5,0.16,0.0,558528.0
22.5,0.16,0.0,558607.0
